instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE
256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE
1749249,6833,1018GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
454657,1776,182D010721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
663809,2593,182D020921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
957441,3740,182D021221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
869633,3397,182D041121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
537601,2100,182D050821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
815361,3185,182D071021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
480001,1875,182D080721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
965121,3770,182D091221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
691969,2703,182D100921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
553985,2164,182D120821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
902657,3526,182D121121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
823553,3217,182D141021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
489985,1914,182D150721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
710913,2777,182D160921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
393729,1538,182D170621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
917249,3583,182D181121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
580865,2269,182D190821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
837121,3270,182D211021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
503041,1965,182D220721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
754945,2949,182D230921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
420097,1641,182D240621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
940545,3674,182D251121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
620033,2422,182D260821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
847617,3311,182D281021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
518657,2026,182D290721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
791553,3092,182D290921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
5121025,20004,364D010721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
957697,3741,364D020622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5745921,22445,364D020921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
361729,1413,364D021221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
538625,2104,364D030222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
664577,2596,364D030322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
262913,1027,364D041121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
870401,3400,364D050522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5710593,22307,364D050821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
480257,1876,364D060122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
815873,3187,364D070422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
105985,414,364D071021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5117185,19989,364D080721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
965889,3773,364D090622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1537,6,364D090921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
373761,1460,364D091221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
554753,2167,364D100222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
692737,2706,364D110322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
283393,1107,364D111121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5716481,22330,364D120821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
490753,1917,364D130122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
