,Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
0,Reliance ,2174.05,-1.41,2368.8,1696.0,1401196.93
1,TCS ,3367.0,3.22,3367.0,2008.0,1245470.6
2,HDFC Bank ,1507.15,1.48,1650.0,994.0,832559.85
3,Infosys ,1552.35,3.29,1552.35,692.3,661498.52
4,HUL ,2486.0,0.26,2531.5,2001.0,584107.79
5,HDFC ,2495.35,-0.1,2895.35,1623.0,450567.41
6,ICICI Bank ,628.4,0.62,679.3,334.0,435144.38
7,SBI ,420.45,0.37,442.0,175.55,375235.29
8,Bajaj Finance ,6070.85,0.93,6250.2,2199.0,366433.07
9,Kotak Mahindra ,1735.0,-0.1,2048.95,1231.2,343944.32
10,Wipro ,548.5,1.52,564.0,213.1,300535.43
11,Bharti Airtel ,531.9,-0.41,623.0,394.05,292120.93
12,Asian Paints ,3016.75,0.95,3091.0,1575.0,289365.99
13,HCL Tech ,994.0,2.19,1073.55,545.15,269738.31
14,ITC ,203.0,-0.51,239.15,163.4,249869.54
15,Maruti Suzuki ,7522.0,1.2,8400.0,5650.0,227224.62
16,Axis Bank ,740.2,1.06,800.0,400.0,226878.32
17,Avenue Supermar ,3324.25,0.35,3408.0,1900.0,215336.5
18,Larsen ,1501.5,1.47,1593.0,842.5,210901.43
19,UltraTechCement ,6924.15,0.3,7050.0,3736.8,199868.67
20,Bajaj Finserv ,12232.85,-0.39,12396.6,4900.0,194670.45
21,Adani Green Ene ,1139.5,-1.58,1394.0,198.85,178219.43
22,Nestle ,17519.1,0.65,18821.45,15104.25,168911.66
23,Adani Enterpris ,1508.0,0.24,1718.45,116.25,165851.36
24,JSW Steel ,678.25,1.92,773.0,185.65,163947.98
25,Sun Pharma ,666.8,0.25,721.9,452.6,159987.66
26,Titan Company ,1784.3,0.09,1785.9,935.2,158407.68
27,ONGC ,122.65,-0.65,128.45,64.15,154297.12
28,HDFC Life ,716.75,-0.11,746.0,514.7,144936.91
29,Adani Ports ,709.25,-1.31,901.0,298.1,144811.24
30,Hind Zinc ,335.5,1.45,362.4,179.85,141759.45
31,Adani Trans ,1265.0,-3.71,1647.7,177.0,139125.98
32,Adani Total Gas ,1251.85,-5.0,1680.0,96.8,137679.73
33,Tata Steel ,1115.65,1.44,1246.8,312.25,125676.82
34,Bajaj Auto ,4204.1,0.07,4361.2,2580.15,121652.79
35,Power Grid Corp ,230.15,-0.88,251.5,154.65,120405.04
36,NTPC ,116.1,-0.98,121.0,78.1,112578.29
37,Divis Labs ,4236.95,0.29,4426.85,2094.6,112477.71
38,Tata Motors ,336.25,0.3,360.65,97.35,111645.35
39,Pidilite Ind ,2146.3,0.59,2173.15,1307.05,109064.96
40,IOC ,111.65,-1.06,117.85,71.35,105109.08
41,Tech Mahindra ,1071.15,1.41,1092.4,536.45,103793.22
42,Shree Cements ,28670.1,-0.67,32050.0,18214.4,103443.87
43,BPCL ,467.0,-0.57,493.7,324.9,101304.1
44,Dabur India ,567.15,0.14,582.7,443.2,100263.71
45,SBI Life Insura ,1000.95,0.02,1040.0,755.55,100105.96
46,Grasim ,1499.0,0.01,1559.6,565.1,98645.87
47,M&M ,790.0,1.04,952.15,493.6,98212.21
48,Vedanta ,252.4,0.5,296.25,91.25,93822.04
49,Coal India ,147.35,-0.74,164.9,109.5,90807.8
50,SBI Card ,964.85,3.35,1149.0,626.15,90795.09
51,Britannia ,3691.0,0.89,4015.0,3201.0,88904.49
52,Godrej Consumer ,868.85,-1.35,941.0,641.65,88838.72
53,Dr Reddys Labs ,5263.1,-0.69,5514.65,3815.8,87548.68
54,ICICI Prudentia ,608.5,0.55,613.2,397.65,87413.29
55,Hindalco ,371.5,0.91,428.3,143.4,83472.36
56,Berger Paints ,810.1,0.52,842.55,471.85,78684.61
57,IndusInd Bank ,1003.4,0.42,1119.2,460.75,77642.6
58,Cipla ,948.3,-0.99,982.05,618.85,76489.57
59,Motherson Sumi ,237.1,-0.36,269.0,91.4,74874.62
60,Eicher Motors ,2711.7,-0.58,3035.5,1724.1,74137.19
61,L&T Infotech ,4194.55,1.9,4499.9,1863.6,73317.72
62,Siemens ,2053.8,1.23,2176.75,1075.0,73139.98
63,DLF ,290.45,-0.9,332.6,134.6,71895.43
64,TATA Cons. Prod ,757.75,-0.01,765.0,378.1,69830.58
65,ICICI Lombard,1531.85,-0.2,1625.0,1201.0,69645.81
66,Ambuja Cements ,345.0,-0.03,351.15,183.35,68504.76
67,GAIL ,152.6,-0.62,170.0,81.25,67760.28
68,Marico ,516.4,0.12,527.4,333.3,66687.21
69,INDUS TOWERS ,242.9,0.1,282.0,161.3,65460.02
70,Interglobe Avi ,1691.95,-0.96,1859.6,873.1,65124.85
71,RIL Partly Paid ,1552.8,-1.56,1639.0,788.5,64875.03
72,Cadila Health ,617.6,-1.08,673.7,347.05,63226.34
73,HDFC AMC ,2949.55,0.21,3358.3,2071.0,62845.59
74,Havells India ,997.0,-0.12,1237.8,562.4,62442.42
75,Info Edge ,4809.95,0.6,5876.05,2664.35,61944.52
76,UPL ,805.5,0.2,864.75,399.0,61543.86
77,Muthoot Finance ,1468.4,-0.73,1550.75,1000.0,58911.6
78,Hero Motocorp ,2904.4,-0.83,3628.55,2366.45,58026.98
79,Piramal Enter ,2400.85,-1.3,2504.25,1178.85,56930.82
80,Aurobindo Pharm ,940.7,-0.43,1063.75,703.65,55119.24
81,Bandhan Bank ,333.6,0.04,430.25,232.0,53731.92
82,Gland ,3158.3,-0.9,3512.2,1500.0,51766.03
83,Lupin ,1139.55,-1.29,1267.5,828.65,51724.49
84,SAIL ,125.2,0.89,151.1,29.2,51714.18
85,NMDC ,176.0,-1.59,213.15,75.6,51578.66
86,Torrent Pharma ,2892.4,-0.48,3040.0,2232.0,48945.98
87,United Spirits ,665.25,0.28,683.0,494.0,48339.64
88,Biocon ,399.15,0.44,487.7,363.3,47921.95
89,Adani Power ,120.85,-4.69,167.05,33.1,46611.11
90,PNB ,41.95,-0.71,46.4,26.3,46191.21
91,Colgate ,1697.5,0.7,1755.0,1322.8,46169.56
92,Apollo Hospital ,3191.95,-1.62,3432.9,1308.1,45895.34
93,TML-D ,156.25,-0.06,169.65,36.9,45114.82
94,Gujarat Gas ,647.8,-0.75,704.3,281.0,44593.91
95,P and G ,13677.6,0.88,14100.0,9700.05,44398.5
96,Bosch ,14999.1,-0.44,16900.0,10885.75,44237.81
97,Chola Invest. ,533.4,-0.55,600.9,187.05,43751.38
98,IOB ,23.1,-1.91,27.95,8.8,43664.57
99,PI Industries ,2862.4,0.18,2927.6,1500.0,43427.79
0,Grindwell Norto ,1210.7,4.82,1320.95,470.7,13404.87
1,Carborundum ,582.4,-0.57,626.0,232.0,11043.69
2,Wendt ,3939.0,1.2,4257.75,2395.0,787.8
0,Hindustan Aeron ,1027.3,0.61,1423.55,660.0,34351.63
1,MTAR Tech ,979.5,-0.57,1154.0,575.0,3012.9
2,TAAL Enterprise ,660.05,1.16,725.0,115.05,205.69
3,Taneja Aerospac ,40.8,2.77,46.05,23.15,101.72
0,Bombay Burmah ,1308.0,0.34,1566.8,974.9,9126.16
1,Kaveri Seed ,727.95,-0.38,815.85,463.15,4391.66
2,Nath Bio-Genes ,423.0,1.21,474.7,246.65,803.87
3,Goodricke Group ,276.9,-3.13,322.7,148.85,598.1
4,Harrisons Malay ,214.4,0.7,226.9,70.4,395.68
5,JK Agri Genetic ,820.0,0.01,969.05,480.0,380.23
6,Dhunseri Tea ,508.0,-9.99,607.8,152.0,355.85
7,ShreeGanesh Bio ,115.8,-1.86,148.55,91.4,230.8
8,Neelamalai Agro ,2905.0,1.61,2905.0,945.9,180.71
9,Raghuvansh Agro ,124.5,3.75,296.0,93.35,148.37
10,Mangalam Seeds ,94.7,1.55,109.1,50.95,103.98
11,Diana Tea ,24.55,0.2,34.5,8.45,36.8
12,Transchem ,28.45,-2.9,34.0,9.85,34.82
13,Agri-Tech ,45.55,2.71,50.0,26.0,27.06
14,Indo US Bio-Tec ,38.05,-7.08,59.0,30.85,23.09
15,Kanel Ind ,2.66,4.72,2.66,0.28,4.9
16,Nagarjuna Ag ,4.41,5.0,5.2,2.56,4.13
0,Voltas ,1027.15,-0.31,1131.2,529.4,33986.83
1,Amber Enterpris ,2953.7,1.4,3667.5,1011.1,9952.12
2,Blue Star ,814.8,-0.04,1025.0,466.0,7847.66
3,Johnson Control ,2255.0,0.3,3375.0,1660.0,6131.54
0,Interglobe Avi ,1692.15,-0.95,1859.6,873.1,65132.55
1,SpiceJet ,77.7,-1.15,107.95,45.35,4672.51
2,Jet Airways ,109.6,4.98,165.0,23.5,1245.03
3,Global Vectra ,51.8,-1.33,65.3,36.2,72.52
0,NALCO ,68.7,-0.51,82.3,29.15,12617.66
1,Maan Aluminium ,331.15,1.36,373.0,50.0,223.88
2,Arfin India ,76.1,0.26,85.7,25.7,120.94
3,Manaksia Alumin ,18.35,1.38,23.9,6.34,120.25
4,PG Foils ,148.0,-0.97,165.0,58.05,120.03
5,Century Extr ,9.34,-3.81,11.8,2.53,74.72
6,Sacheta Metals ,17.0,-2.3,24.6,13.76,32.52
7,Hind Aluminium ,41.45,0.61,46.0,27.4,26.11
8,Nirav Comm ,396.85,4.99,396.85,125.0,15.56
9,Bothra Metals ,3.51,1.15,6.4,2.6,6.5
10,Sudal Ind ,7.1,2.16,9.92,1.93,5.23
11,Golkonda Alum ,13.0,-3.35,21.0,2.71,4.84
12,Synthiko Foils ,24.5,-0.61,31.2,18.8,4.26
13,Galada Telecom ,2.26,1.8,2.27,0.54,1.69
0,Wonderla ,220.85,0.82,234.5,125.0,1248.52
1,Nicco Parks ,44.9,4.18,52.9,25.25,210.13
2,Hanman Fit ,1.76,-6.88,3.19,1.46,1.85
0,Avanti Feeds ,559.5,-0.11,619.95,411.85,7622.94
1,Apex Frozen ,280.35,1.03,328.8,191.25,876.09
2,Waterbase ,125.0,0.52,145.75,89.5,517.83
3,Coastal Corp ,308.0,0.65,356.9,160.0,328.91
4,Zeal Aqua,81.65,0.68,85.0,48.25,102.93
5,BKV Industries ,12.01,-4.98,13.96,2.47,18.55
6,Shantanu Sheo ,1.62,-1.82,1.74,0.29,5.65
0,Varroc Engineer ,369.3,-0.93,499.95,177.1,5642.4
1,Rajratan Global ,1262.95,-0.18,1349.95,211.3,1282.42
2,Pricol ,94.05,-0.74,101.9,36.0,1146.3
3,GNA Axles ,431.95,0.22,466.15,164.35,927.2
4,Rane Brake ,885.0,0.38,996.95,514.0,686.77
5,Enkei Wheels ,378.0,-0.03,431.25,190.0,679.45
6,Frontier Spring ,280.0,-0.39,379.9,232.0,110.28
7,Kinetic Eng ,52.5,5.0,53.8,16.75,92.97
8,Sal Automotive ,190.0,0.0,206.95,111.7,45.56
9,PAE ,8.05,-0.49,15.33,1.88,8.39
0,Subros ,303.5,-0.72,363.4,161.5,1979.91
0,Motherson Sumi ,236.7,-0.53,269.0,91.4,74748.3
1,Bosch ,14991.2,-0.49,16900.0,10885.75,44214.51
2,Sundaram-Clayto ,3394.25,-0.24,3999.0,1521.0,6867.28
3,Mah Scooters ,3734.95,0.19,4043.4,2500.0,4268.51
4,Sandhar Technol ,244.0,-0.04,280.15,173.6,1468.65
5,Ind Motor Parts ,795.5,-0.89,869.0,473.4,992.78
0,Automotive Axle ,1328.25,0.99,1479.2,335.7,2007.25
1,Talbros Eng ,218.0,-1.89,234.0,65.05,110.67
0,Schaeffler Ind ,5404.85,0.57,5550.0,3437.0,16895.96
1,SKF India ,2638.45,2.04,2725.0,1428.7,13043.96
2,Timken ,1510.9,-2.02,1565.7,930.0,11364.8
3,NRB Bearings ,146.4,8.52,146.4,66.2,1418.95
4,Menon Bearings ,73.5,7.85,73.5,30.0,411.89
5,Bimetal Bearing ,360.0,-1.17,421.9,211.0,137.7
6,SNL Bearings ,239.0,4.07,284.95,103.0,86.32
7,Galaxy Bearings ,230.0,-2.93,240.0,140.0,73.14
8,NRB Industrial ,21.0,1.2,27.0,4.35,50.88
9,Vishal Bearing ,36.9,1.93,44.5,19.4,39.82
10,Austin Eng ,69.6,20.0,70.4,22.3,24.21
11,Benara Bearings ,13.25,2.32,19.2,7.52,23.46
0,Hind Composites ,331.35,-0.29,387.45,151.35,489.37
1,Sundaram Brake ,433.45,-1.43,452.05,185.0,170.54
0,Auto Corp Goa ,412.5,2.37,605.0,227.3,251.16
0,Sona BLW ,362.85,24.69,362.85,291.0,21164.67
1,Mahindra CIE ,229.0,-0.37,234.5,101.0,8679.83
2,RamkrishnaForge ,620.05,0.31,687.0,140.65,1983.36
3,MM Forgings ,680.0,-0.29,720.0,172.3,1641.57
4,PTC Industries ,1988.0,-0.57,2114.5,325.15,1041.53
5,Steelcast ,161.45,2.05,173.0,66.75,326.77
6,Rama Steel Tube ,116.6,5.0,116.6,25.3,195.82
7,LGB Forge ,7.27,2.97,7.27,2.17,173.17
8,Uni Abex ,569.85,0.9,677.0,313.2,112.55
9,Invest and Prec ,222.95,3.51,248.0,130.0,111.48
10,Magna Electro ,180.0,-0.11,199.85,102.6,76.18
11,Rajkumar Forge ,62.4,-3.7,68.9,21.25,68.26
12,Bhagwati Auto ,175.6,-1.32,189.15,78.45,50.58
13,Creative Cast. ,337.25,-5.0,462.0,275.6,43.84
14,Porwal Auto ,27.2,-1.63,30.0,10.79,41.07
15,Metalyst Forgin ,6.93,-4.81,8.7,3.56,30.18
16,Hilton Metal ,12.02,-3.53,16.06,8.13,14.96
17,Simplex Casting ,23.6,4.89,25.0,13.5,14.47
18,Sibar Auto ,7.96,-0.5,12.65,6.15,13.15
19,Smiths & Found ,0.84,1.2,0.86,0.54,8.57
20,Carnation Ind ,6.48,4.85,7.65,3.61,2.24
0,Setco Auto ,23.0,-2.75,24.6,8.25,307.66
0,Cummins ,836.9,1.37,933.45,373.6,23198.87
1,Swaraj Engines ,1762.0,-0.06,1840.0,1254.95,2139.18
0,India Nippon ,362.7,-0.58,447.3,265.4,820.48
1,Rane Engine ,311.05,-0.77,355.0,183.0,208.99
0,JTEKT India,106.05,-0.33,122.8,61.05,2592.72
1,LG Balakrishnan ,467.45,-0.26,488.2,203.35,1467.44
2,Shanthi Gears ,142.0,0.71,162.15,77.2,1089.37
3,Rane Madras ,378.35,1.24,496.0,193.0,551.08
4,The Hi-Tech Gea ,240.0,-0.29,266.0,95.9,450.43
5,ZF Steering Gea ,473.6,-0.37,546.85,275.0,429.71
6,RACL Geartech ,310.55,-0.42,338.0,64.05,334.82
7,Shivam Auto ,24.0,1.91,29.1,12.25,240.0
8,JMT Auto ,3.21,-4.75,7.23,2.19,161.73
9,Bharat Gears ,102.5,-0.29,118.45,38.25,95.39
10,Him Teknoforge,109.45,-2.23,134.95,33.05,86.09
11,Gajra Bevel Gea ,3.1,4.38,3.57,0.38,2.91
