Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
93,IDBI Bank ,36.2,2.55,55.75,19.2,38923.7
1,HMT ,27.0,0.56,38.9,10.05,3251.05
6,IDBI Bank ,36.2,2.55,55.75,19.2,38923.7
7,Yes Bank ,13.91,-4.4,31.95,11.1,34851.37
14,Ujjivan Small ,28.6,-0.52,44.5,24.85,4942.98
20,JK Bank ,24.0,0.84,32.95,11.55,1712.28
21,South Ind Bk ,7.9,-0.63,10.8,4.85,1653.27
1,PNB ,34.5,-1.0,46.4,26.3,36148.0
3,IOB ,15.55,-0.96,20.9,7.05,25559.52
5,Union Bank ,33.95,-1.02,45.25,22.6,21751.24
7,Bank of Mah ,23.45,-2.7,27.73,8.32,15383.57
9,UCO Bank ,11.19,1.54,16.76,10.6,11098.62
10,Central Bank ,16.25,-0.61,26.4,10.04,9547.79
11,Punjab & Sind ,18.3,0.27,23.79,10.42,7416.38
0,Hathway Cable ,23.75,1.28,57.45,17.4,4204.0
1,Den Networks ,44.1,-0.56,115.05,41.6,2104.56
2,Dish TV ,10.0,7.87,16.3,4.24,1841.29
14,Jaiprakash Asso ,7.19,0.7,9.73,1.37,1757.41
17,Sanghi Ind ,46.05,0.77,49.3,15.15,1155.86
8,Himadri Special ,45.0,0.78,64.0,37.55,1885.34
12,Grauer and Weil ,44.95,1.35,48.9,30.25,1019.04
14,DCW ,38.7,-0.13,40.4,9.28,1010.19
1,Rail Vikas ,27.65,1.84,35.6,16.2,5765.08
7,Hind Constr ,7.72,0.52,10.87,4.2,1168.06
7,NBCC (India) ,41.45,2.09,54.0,16.8,7461.0
14,Future Consumer ,7.09,1.72,19.64,5.94,1408.81
15,Andrew Yule ,21.25,-1.39,25.9,8.91,1039.02
5,Suzlon Energy ,5.12,6.44,8.68,2.3,4356.1
19,Genus Power ,49.75,7.92,59.7,14.0,1280.36
0,Bharat 22 ETF ,35.4,-0.95,38.75,22.0,14269.4
1,CPSE ETF ,23.15,0.22,24.75,15.7,3979.74
3,HUDCO ,42.55,2.16,54.95,20.65,8518.08
13,Centrum Capital ,30.5,0.33,32.75,9.62,1268.9
5,IRFC ,21.05,-1.17,26.6,10.0,27509.21
20,PTC India Fin ,16.95,-0.59,24.3,8.3,1088.67
6,IFCI ,10.88,-0.46,15.95,3.76,2221.67
5,Lemon Tree Hote ,35.3,-0.28,49.45,13.8,2796.63
16,JSW Ispat Speci ,48.15,4.9,48.15,10.7,2260.87
27,Gallantt Ispat ,46.75,11.31,49.95,19.2,1320.04
23,3i Infotech ,8.31,4.92,9.57,1.35,1343.44
4,Electrosteel ,34.8,1.75,35.2,8.9,1506.68
5,NHPC ,24.1,-0.62,26.65,19.4,24208.53
9,SJVN ,25.15,-0.2,28.65,19.1,9883.43
12,NLC India ,48.0,0.73,59.75,40.2,6655.86
15,Jaiprakash Pow ,3.1,-0.96,4.26,0.67,2124.57
16,Rattanindia Ent ,11.18,4.98,11.47,1.48,1545.38
17,Rattan Power ,2.86,4.76,4.48,1.08,1535.85
18,Reliance Power ,5.32,9.92,5.68,1.66,1492.33
3,MRPL ,43.45,0.58,46.0,25.0,7615.04
0,Infibeam Avenue ,38.85,-1.02,55.9,20.55,5171.14
3,Shree Renuka ,13.32,9.99,14.72,4.2,2835.15
3,HFCL ,30.7,10.43,34.75,8.7,3943.04
1,Vodafone Idea ,8.45,1.08,13.8,3.94,24281.4
2,TataTeleservice ,13.7,-2.07,23.2,2.07,2678.25
3,MTNL ,16.0,-0.31,24.4,6.68,1008.0
2,Alok Industries ,18.85,-2.33,61.4,7.5,9359.48
4,Trident ,14.13,2.47,16.98,4.45,7200.59
20,Indo Rama Synth ,43.0,14.67,47.5,11.73,1122.79
3,MMTC Ltd ,42.75,4.52,52.55,13.2,6412.5
1,Thomas Cook ,48.0,1.05,61.8,22.0,1815.72
2,TV18 Broadcast ,33.5,-1.33,41.7,18.0,5743.11
3,Network 18 ,39.75,0.51,50.05,21.0,4161.62
